"이름","카테고리","도로명주소","지번주소","일반전화","안심번호","영업시간","썸네일이미지URL","방문자 리뷰수","방문자 평점","블로그 리뷰수","위도","경도","매장정보","부가설명","홈페이지URL","사진리뷰수","상세페이지URL","해시태그","created_at"
"예쁨 현 의원","피부과","대전 서구 둔산로 34 8층 예쁨현의원","대전 서구 둔산동 1039","042-486-7075","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:00,금10:00 - 20:00,토10:00 - 16:00,일정기휴무 (매주 일요일),월10:00 - 20:00,화10:00 - 20:00,수10:00 - 20:00접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220414_107%2F1649922732404Rs0yn_JPEG%2FKakaoTalk_20220409_013602088.jpg","866","","643","36.3513987","127.3775316","주차, 예약, 남/녀 화장실 구분, 무선 인터넷","","http://prettyhyun.com/new2023/index.php","67","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1625401459?c=11.00,0,0,0,dh","","2024-05-23 15:22:54 +0900"
"톡스앤필의원 대전둔산점","피부과","대전 서구 대덕대로 226 4층","대전 서구 둔산동 1362","042-488-5827","","진료 중20:30에 진료 종료20시 30분에 진료 종료,목10:30 - 20:30,금10:30 - 20:30,토10:30 - 17:00,일10:30 - 17:00,월10:30 - 20:30,화10:30 - 20:30,수10:30 - 20:30접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240228_17%2F1709106088626kryBF_JPEG%2F%25B4%25EB%25C0%25FC%25B5%25D0%25BB%25EA.jpg","11702","","482","36.3527281","127.3798545","주차, 남/녀 화장실 구분, 무선 인터넷, 예약","","http://www.toxnfill13.com/","1165","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1200593049?c=11.00,0,0,0,dh","","2024-05-23 15:22:56 +0900"
"바노바기의원 대전","피부과","대전 서구 대덕대로 222 강남프라자 3층","대전 서구 둔산동 1361","042-488-1600","","진료 중20:30에 진료 종료20시 30분에 진료 종료,목10:30 - 20:30,금10:30 - 20:30,토10:30 - 17:00,일10:30 - 17:00,월10:30 - 20:30,화10:30 - 20:30,수10:30 - 20:30접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240126_203%2F1706265560251DA5ON_JPEG%2Fsearch.pstatic.jpg","318","","2114","36.3523842","127.379731","무선 인터넷, 예약, 남/녀 화장실 구분, 주차","","https://www.banobagiclinic3.com/","73","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/12951720?c=11.00,0,0,0,dh","","2024-05-23 15:22:57 +0900"
"연세피부과의원","피부과","대전 서구 계룡로 613","대전 서구 탄방동 90-6","042-527-2575","","진료 중18:00에 진료 종료18시 0분에 진료 종료,목09:00 - 18:0012:30 - 13:30 휴게시간,금09:00 - 18:0012:30 - 13:30 휴게시간,토09:00 - 13:00,일정기휴무 (매주 일요일),월09:00 - 18:0012:30 - 13:30 휴게시간,화09:00 - 18:0012:30 - 13:30 휴게시간,수09:00 - 18:0012:30 - 13:30 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191206_258%2F1575624959330qiEfk_JPEG%2FuSFHwqm3rDoLBXGSX--1yDEb.jpg","446","","5","36.340321","127.3911787","","","","1","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13246398?c=11.00,0,0,0,dh","","2024-05-23 15:23:17 +0900"
"레보필의원 대전둔산","피부과","대전 서구 대덕대로 189 3층 레보필 의원","대전 서구 둔산동 1046","1899-4009","","진료 중19:00에 접수마감19시 0분에 접수마감,목10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,금10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,토10:00 - 15:0014:00 접수마감,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,화10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,수10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240315_118%2F1710490666923oAUxh_PNG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25BF%25EB_%25B7%25CE%25B0%25ED.png","362","","80","36.3502565","127.37739","예약, 무선 인터넷, 남/녀 화장실 구분, 대기공간, 주차","","https://booking.naver.com/booking/13/bizes/887316","48","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1958825435?c=11.00,0,0,0,dh","","2024-05-23 15:23:19 +0900"
"잇츠미의원 대전","피부과","대전 서구 대덕대로 223 대우토피아 601호","대전 서구 둔산동 1033","0507-1433-6301","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0013:00 - 14:00 휴게시간,금10:00 - 20:0013:00 - 14:00 휴게시간,토10:00 - 16:00,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간,화10:00 - 20:0013:00 - 14:00 휴게시간,수10:00 - 20:0013:00 - 14:00 휴게시간접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220408_87%2F1649408188589u9lhO_JPEG%2FKakaoTalk_20220405_161401880_01.jpg","1698","","345","36.3529106","127.3788486","예약, 무선 인터넷, 남/녀 화장실 구분, 주차","","http://itsme-clinic.kr/","383","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1413799918?c=11.00,0,0,0,dh","","2024-05-23 15:23:19 +0900"
"더블유피부과의원 둔산","피부과","대전 서구 대덕대로 195 현대빌딩 3, 4층","대전 서구 둔산동 1043","042-471-1115","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:00 - 19:0013:00 - 14:00 휴게시간,금10:00 - 20:0013:00 - 14:00 휴게시간,토10:00 - 15:00,일정기휴무 (매주 일요일),월10:00 - 19:0013:00 - 14:00 휴게시간,화10:00 - 19:0013:00 - 14:00 휴게시간,수10:00 - 19:0013:00 - 14:00 휴게시간,06/06 현충일 휴무,- 토요일 점심시간 없음접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170228_201%2F14882575780342h1Im_JPEG%2F186178538276947_0.jpeg","340","","210","36.3507333","127.3776807","","","https://www.wskin-ds.com","6","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/11702271?c=11.00,0,0,0,dh","","2024-05-23 15:23:19 +0900"
"팝의원","피부과","대전 서구 대덕대로175번길 16 5층","대전 서구 둔산동 1112","0507-1320-7530","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0013:00 - 14:00 휴게시간,금10:00 - 20:0013:00 - 14:00 휴게시간,토10:00 - 16:00,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간,화10:00 - 20:0013:00 - 14:00 휴게시간,수10:00 - 20:0013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230530_92%2F1685437164972M3fVU_JPEG%2F01.jpg","243","","163","36.3496763","127.3763057","주차, 무선 인터넷, 예약, 남/녀 화장실 구분","","http://popclinic1.com/","47","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1472430170?c=11.00,0,0,0,dh","","2024-05-23 15:23:20 +0900"
"더웰피부과의원","피부과","대전 서구 구봉로131번길 49","대전 서구 관저동 1513","042-335-7575","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목09:30 - 19:0013:00 - 14:00 휴게시간,금09:30 - 19:0013:00 - 14:00 휴게시간,토09:00 - 15:00,일정기휴무 (매주 일요일),월09:30 - 19:0013:00 - 14:00 휴게시간,화09:30 - 19:0013:00 - 14:00 휴게시간,수09:30 - 19:0013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180506_260%2F1525617952207FsBBd_JPEG%2Fthi4TKc_92NUzUYjiBc1m68Z.jpg","1772","","10","36.2986539","127.3371832","무선 인터넷, 주차, 남/녀 화장실 구분","","http://www.wellpibu.net","20","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1815321623?c=11.00,0,0,0,dh","","2024-05-23 15:23:20 +0900"
"초이스뷰의원","피부과","대전 서구 둔산로 20 5층","대전 서구 둔산동 1072","042-486-4842","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:30 - 19:0013:00 - 14:00 휴게시간,금10:30 - 19:0013:00 - 14:00 휴게시간,토10:00 - 15:00,일정기휴무 (매주 일요일),월10:30 - 19:0013:00 - 14:00 휴게시간,화10:30 - 19:0013:00 - 14:00 휴게시간,수정기휴무 (매주 수요일),06/06 현충일 휴무,- 공휴일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200731_239%2F1596153826368bD68P_JPEG%2F2Iaua9XFaJTjWhhqrmlbkBxj.JPG.jpg","3154","","979","36.3517838","127.3763187","남/녀 화장실 구분","","http://choice-view.com/","11","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1427368502?c=11.00,0,0,0,dh","","2024-05-23 15:23:20 +0900"
